name,population,white,black,native_american,asian,hawaiian,some_other_race_alone,two_more_races,hispanic_or_latino,GEO_ID,state,place,median_family_income,income_20_percentile,income_80_percentile,median_family_income_white,median_family_income_black,median_family_income_indigenous,median_family_income_asian,median_family_income_white_not_hisp,median_family_income_hispanic,female_under5,male_under5,white_m_under5,white_f_under5,black_m_under5,black_f_under5,indigenous_m_under5,indigenous_f_under5,asian_m_under5,asian_f_under5,hawaiian_m_under5,hawaiian_f_under5,some_other_race_m_under5,some_other_race_f_under5,two_or_more_race_m_under5,two_or_more_race_f_under5,hispanic_m_under5,hispanic_f_under5,total_3_4,preschool_enrollment,preschool_enrollment_white,preschool_enrollment_black,preschool_enrollment_hispanic,preschool_enrollment_indigenous,preschool_enrollment_asian,fem_not_enrolled_3_4,mal_not_enrolled_3_4,all_in_poverty,year,under_18,poverty_ratio_below_1_people,poverty_ratio_below_1_families,poverty_ratio_below_2_families,poverty_ratio_below_1_children,poverty_ratio_below_2_children,public_students_pre_12,white_employed_16_64,black_employed_16_64,american_indian_employed_16_64,asian_employed_16_64,some_other_race_alone_employed_16_64,two_or_more_race_employed_16_64,hispanic_or_latino_employed_16_64,employed_25_54_population,employed_16_64_population,preschool_enroll,preschool_enrollment_white_3_4,preschool_enrollment_black_3_4,preschool_enrollment_hispanic_3_4,preschool_enrollment_indigenous_3_4,preschool_enrollment_asian_3_4,white_under_5,black_under_5,indigenous_under_5,asian_under_5,hispanic_under_5,two_or_more_race_under_5,some_other_race_under_5,percent_white_enrolled_preschool,percent_black_enrolled_preschool,percent_asian_enrolled_preschool,percent_hispanic_enrolled_preschool
"Central Falls city, Rhode Island",19429.0,0.48504812393844254,0.12661485408410109,0.010088012764424314,0.006485151062844202,0.004580781306294714,0.2964125791342838,0.07077049770960935,0.6641103505069741,1600000US4414140,44,14140,34623.0,12468.0,65536.0,34786.0,34850.0,,,45139.0,33796.0,643.0,981.0,458.0,288.0,122.0,85.0,0.0,0.0,0.0,6.0,0.0,0.0,316.0,176.0,85.0,88.0,736.0,550.0,622.0,250.0,0.312,0.088,0.888,0.0,0.024,200.0,156.0,5718.0,2019,5409.0,0.30159818555831003,0.24267782426778242,0.601813110181311,0.3973584905660377,0.8077358490566038,3921.0,0.5964026506784474,0.6395061728395062,0.71875,0.6976744186046512,0.6515114873035066,0.5417633410672854,0.6390050876201243,0.693515764425937,0.6175094339622641,0.427652733118971,0.12540192926045016,0.03536977491961415,0.35691318327974275,0.0,0.00964630225080386,0.45935960591133007,0.12746305418719212,0.0,0.003694581280788177,0.791871921182266,0.10652709359605911,0.30295566502463056,0.2729929398377628,0.27749040806499214,2.6109324758842445,0.45072084731438744
"Pawtucket city, Rhode Island",71844.0,0.6161544457435555,0.1756305328211124,0.006249652023829409,0.02392684148989477,0.0008908189967151049,0.12044151216524693,0.0567061967596459,0.2525889427092033,1600000US4454640,44,54640,60984.0,20394.0,94939.0,69001.0,54972.0,,58750.0,74500.0,46386.0,1851.0,2424.0,1146.0,947.0,657.0,318.0,0.0,24.0,40.0,28.0,0.0,0.0,321.0,291.0,260.0,243.0,811.0,781.0,1859.0,811.0,0.6177558569667078,0.13316892725030827,0.43896424167694204,0.0,0.0,509.0,597.0,11120.0,2019,15034.0,0.15570958482111602,0.1313911313911314,0.32777582777582775,0.24319988840842516,0.5023713209652672,9906.0,0.7342218996403945,0.7571506253398587,0.6044568245125348,0.6889605157131345,0.6999458385990251,0.6758358019466779,0.682438433589019,0.7845853535671558,0.7300409677353606,0.4050564819795589,0.2694997310381926,0.05809575040344271,0.19150080688542226,0.0,0.0,0.4895906432748538,0.22807017543859648,0.005614035087719298,0.01590643274853801,0.37239766081871345,0.1176608187134503,0.1431578947368421,0.5504593168601402,0.25472752099971036,0.0,0.5142374054241081
"Providence city, Rhode Island",179494.0,0.550636790087691,0.1683176039310506,0.009900052369438533,0.060096716324779656,0.0014485163849488004,0.16289123870435782,0.04670908219773363,0.43320110978639953,1600000US4459000,44,59000,53659.0,14889.0,99068.0,64956.0,48815.0,23975.0,60462.0,95938.0,41120.0,5690.0,5689.0,2993.0,2628.0,724.0,965.0,56.0,48.0,203.0,215.0,0.0,0.0,1127.0,1144.0,586.0,690.0,3668.0,3306.0,4650.0,2401.0,0.5593502707205331,0.16493127863390253,0.49312786339025405,0.0,0.04748021657642649,1434.0,1291.0,42165.0,2019,40156.0,0.2552453478939913,0.21713403653202984,0.42151902352571247,0.3476872333184995,0.5984398314180257,25744.0,0.6452934327972059,0.5986622073578596,0.44642857142857145,0.515055107374162,0.6624588086185045,0.5783032565857706,0.635337831231055,0.7316935528271761,0.6266605990930574,0.4139784946236559,0.28881720430107527,0.08516129032258064,0.2546236559139785,0.0,0.024516129032258065,0.4939801388522717,0.1484313208542051,0.009139643202390368,0.03673433517883821,0.6128833816679848,0.11213639159855875,0.19957817031373584,0.5846737177978892,0.5737420500773507,0.6673900293255133,0.415452047697901
"Woonsocket city, Rhode Island",41603.0,0.7354998437612672,0.09585847174482609,0.009879095257553542,0.05807273513929284,0.0,0.04706391366007259,0.053625940436987714,0.1879191404466024,1600000US4480780,44,80780,54129.0,16717.0,90643.0,57973.0,39516.0,45052.0,76892.0,66420.0,26519.0,1301.0,1624.0,913.0,860.0,259.0,165.0,21.0,13.0,32.0,53.0,0.0,0.0,262.0,30.0,137.0,180.0,579.0,403.0,1293.0,621.0,0.6103059581320451,0.19806763285024154,0.3107890499194847,0.020933977455716585,0.05314009661835749,483.0,270.0,8891.0,2019,9002.0,0.21799681255363493,0.1752842737609955,0.38575413001501824,0.35141509433962265,0.6409198113207547,6271.0,0.6742420531909683,0.6147360703812317,0.8253521126760563,0.730064388311045,0.5412919051512673,0.6642335766423357,0.5517241379310345,0.7230751862722963,0.6681322609472744,0.41763341067285387,0.29311678267594743,0.0951276102088167,0.14926527455529776,0.010054137664346482,0.025522041763341066,0.6061538461538462,0.14495726495726496,0.011623931623931624,0.02905982905982906,0.3357264957264957,0.10837606837606838,0.09982905982905983,0.4835682962928067,0.6562458958980869,0.8782584959737955,0.4446037964096191
